iter	RMSE
178	70.4538159
179	70.45353836
180	70.45331773
181	70.45318275
182	70.45313136
183	70.45301627
184	70.45280997
185	70.45270837
186	70.45265824
187	70.45246481
188	70.4523557
189	70.45229425
190	70.45210757
191	70.451881
192	70.45171081
193	70.45159564
194	70.45153852
195	70.45137162
196	70.45120562
197	70.45106344
198	70.45096744
199	70.45092725
200	70.45076742
201	70.4506459
202	70.4505294
203	70.45013531
204	70.44980838
205	70.44972388
206	70.44959683
207	70.44949253
208	70.44936135
209	70.44921349
210	70.44918297
211	70.44906559
212	70.44896706
213	70.44891377
214	70.44882777
215	70.44868443
216	70.44859304
217	70.44849879
218	70.44841827
219	70.44835824
220	70.44807742
221	70.44803213
222	70.44791734
223	70.44785457
224	70.44772942
225	70.4476811
226	70.44755477
227	70.44744942
228	70.4473429
229	70.44712482
230	70.44704353
231	70.44699645
232	70.44688367
233	70.44682748
234	70.44673757
235	70.4465844
236	70.44646664
237	70.44638211
238	70.44626921
239	70.44621572
240	70.44618847
241	70.4461391
242	70.44604911
243	70.44600604
244	70.44597333
245	70.44591368
246	70.4458271
247	70.44575527
248	70.44572884
249	70.4455284
250	70.44545027
251	70.44537673
252	70.44528096
253	70.44512085
254	70.44505282
255	70.44502405
256	70.44497287
257	70.44478376
258	70.44470781
259	70.44466891
260	70.44464464
261	70.4445168
262	70.44445537
263	70.44431298
264	70.4442217
265	70.44417123
266	70.44410965
267	70.44406092
268	70.44398295
269	70.44390007
270	70.44378396
271	70.44373
272	70.44368789
273	70.44361781
274	70.44358732
275	70.44354497
276	70.44348827
277	70.44344776
278	70.44341074
279	70.44337246
280	70.44331255
281	70.44324831
282	70.44318113
283	70.44314224
284	70.44305813
285	70.44288806
286	70.44284983
287	70.44281124
288	70.44277514
289	70.44269517
290	70.44249966
291	70.44244929
292	70.44232557
293	70.44226113
294	70.44222867
295	70.44221214
296	70.44212458
297	70.44200362
298	70.44195193
299	70.44192624
300	70.44190565
301	70.44180704
302	70.44175244
303	70.44170747
304	70.44168718
305	70.44159643
306	70.44153927
307	70.44149838
308	70.44147585
309	70.44134532
310	70.44119728
311	70.44117056
312	70.44109605
313	70.44107792
314	70.44105864
315	70.44093708
316	70.44085815
317	70.44078839
318	70.44067171
319	70.44064489
320	70.44060862
321	70.44058041
322	70.44055331
323	70.44052672
324	70.44048796
325	70.44044994
326	70.44043954
327	70.44042326
328	70.44037463
329	70.44033034
330	70.44029721
331	70.44026593
332	70.44024775
333	70.44017838
334	70.44015732
335	70.44011722
336	70.44009133
337	70.44008056
338	70.44005824
339	70.43998082
340	70.43995312
341	70.43992701
342	70.43990343
343	70.43984102
344	70.43982271
345	70.43980615
346	70.4396808
347	70.43966401
348	70.43961127
349	70.43956919
350	70.43952449
351	70.43951391
352	70.43947185
353	70.43942904
354	70.43941703
355	70.43940832
356	70.43936271
357	70.43925174
358	70.43916908
359	70.43914436
360	70.43905451
361	70.43897803
362	70.43892613
363	70.43884876
364	70.43882106
365	70.43875231
366	70.43872983
367	70.43869469
368	70.43867781
369	70.43866155
370	70.43860991
371	70.43859082
372	70.43856032
373	70.43851426
374	70.43849122
375	70.43845454
376	70.4383856
377	70.43831732
378	70.43824482
379	70.43822703
380	70.43821913
381	70.43820908
382	70.43820114
383	70.43817408
384	70.43816364
385	70.43813752
386	70.43807367
387	70.43803006
388	70.4379698
389	70.43794573
390	70.43789072
391	70.43782053
392	70.43779381
393	70.43778891
394	70.4377677
395	70.43775654
396	70.43772992
397	70.437709
398	70.43766285
399	70.43760817
400	70.43759617
401	70.43755897
402	70.43750056
403	70.43747806
404	70.43746777
405	70.4374584
406	70.437443
407	70.43738857
408	70.43731643
409	70.43729834
410	70.43727855
411	70.43727255
412	70.43721341
413	70.4372047
414	70.43716995
415	70.43714618
416	70.43713159
417	70.43710397
418	70.43705738
419	70.43703343
420	70.43700671
421	70.43699096
422	70.43697817
423	70.43694943
424	70.43692901
425	70.43690597
426	70.43688859
427	70.43684538
428	70.43683633
429	70.43680674
430	70.43677315
431	70.43674307
432	70.43672297
433	70.43669482
434	70.43666718
435	70.43665052
436	70.43663562
437	70.43662166
438	70.43661165
439	70.43660609
440	70.43658055
441	70.43657333
442	70.43656262
443	70.43655281
444	70.43654232
445	70.43653379
446	70.43652212
447	70.43648202
448	70.4364664
449	70.43644219
450	70.4364345
451	70.43642266
452	70.43641167
453	70.43640681
454	70.4363795
455	70.43636798
456	70.4363604
457	70.43630473
458	70.43629112
459	70.43628001
460	70.43625287
461	70.43623602
462	70.43623025
463	70.43621911
464	70.43620824
465	70.43620378
466	70.43617571
467	70.43614291
468	70.4361303
469	70.43611976
470	70.43611233
471	70.43608147
472	70.43606932
473	70.436061
474	70.43605119
475	70.43602842
476	70.43601359
477	70.43598761
478	70.43598504
479	70.43597477
480	70.43595854
481	70.43591585
482	70.43589304
483	70.43588022
484	70.4358698
485	70.43585334
486	70.43584525
487	70.43583704
488	70.43579083
489	70.43577499
490	70.43577003
491	70.43575231
492	70.43572336
493	70.43571888
494	70.43568483
495	70.43567825
496	70.4356614
497	70.43564457
498	70.43560382
499	70.43559484
500	70.43555976
501	70.43555229
502	70.43553596
503	70.43553278
504	70.43552847
505	70.43551315
506	70.43550805
507	70.43547656
508	70.43546983
509	70.43545589
510	70.43542533
511	70.43540066
512	70.4353698
513	70.43535756
514	70.43534746
515	70.43534589
516	70.43533955
517	70.43532732
518	70.43532462
519	70.43530494
520	70.43527206
521	70.4352622
522	70.43525555
523	70.43524666
524	70.43523685
525	70.43523404
526	70.43523116
527	70.43522277
528	70.43520524
529	70.43520017
530	70.43517998
531	70.43517041
532	70.43513368
533	70.43512812
534	70.43511955
535	70.43511756
536	70.4351123
537	70.43510748
538	70.4350975
539	70.43508985
540	70.43508637
541	70.43506089
542	70.4350398
543	70.43501518
544	70.43500338
545	70.43499973
546	70.43498297
547	70.43495585
548	70.43495399
549	70.43493525
550	70.43492822
551	70.43491623
552	70.43491078
553	70.434908
554	70.43489108
555	70.43488319
556	70.43487238
557	70.43486298
558	70.43485699
559	70.43484517
560	70.43483845
561	70.43483214
562	70.43482574
563	70.4348158
564	70.43480722
565	70.43480704
566	70.43480415
567	70.43480126
568	70.43479312
569	70.43478645
570	70.43476607
571	70.43474032
572	70.43473548
573	70.43473371
574	70.43473173
575	70.4347257
576	70.4347204
577	70.43470515
578	70.43470171
579	70.43468751
580	70.43467777
581	70.43467364
582	70.43466538
583	70.43466327
584	70.43465793
585	70.43463907
586	70.4346336
587	70.43462725
588	70.43461176
589	70.43461036
590	70.43460417
591	70.43459516
592	70.43458804
593	70.43458478
594	70.4345817
595	70.43457425
596	70.4345628
597	70.43455368
598	70.43455091
599	70.43454543
600	70.43453986
601	70.43453754
602	70.43449659
603	70.43449373
604	70.43448257
605	70.43447723
606	70.43447392
607	70.4344628
608	70.43445628
609	70.43445198
610	70.43444847
611	70.43444128
612	70.43442567
613	70.43442175
614	70.43441922
615	70.43441356
616	70.43441204
617	70.43440906
618	70.43439848
619	70.43439226
620	70.43438978
621	70.43437947
622	70.43437046
623	70.43436426
624	70.43435885
625	70.43435702
626	70.43435573
627	70.43434707
628	70.43434253
629	70.4343404
630	70.43433267
631	70.43432141
632	70.4342966
633	70.43427949
634	70.4342777
635	70.4342749
636	70.43424686
637	70.43423767
638	70.43423427
639	70.43422831
640	70.43422643
641	70.4342208
642	70.43421992
643	70.43421358
644	70.43420296
645	70.43420195
646	70.43419834
647	70.43418966
648	70.43416737
649	70.43416526
650	70.43416375
651	70.43416252
652	70.43414755
653	70.43414422
654	70.43412428
655	70.43410766
656	70.43410287
657	70.43410086
658	70.43409668
659	70.43409043
660	70.43408435
661	70.43408321
662	70.43406801
663	70.43405205
664	70.43404263
665	70.43400636
666	70.43399439
667	70.43399244
668	70.43398122
669	70.43397753
670	70.43395787
671	70.43395554
672	70.43395044
673	70.43393669
674	70.43393544
675	70.43391357
676	70.43391216
677	70.43391055
678	70.4339043
679	70.43390281
680	70.43389567
681	70.43389353
682	70.4338919
683	70.43388027
684	70.4338792
685	70.43387768
686	70.43387005
687	70.43386522
688	70.43386117
689	70.43384759
690	70.43383926
691	70.43382207
692	70.43382013
693	70.43381328
694	70.43380411
695	70.43379107
696	70.43378967
697	70.43378448
698	70.43378204
699	70.43376851
700	70.4337583
701	70.43375459
702	70.43375308
703	70.43374087
704	70.43373915
705	70.43373628
706	70.43373483
707	70.43370974
708	70.43370719
709	70.43370644
710	70.43370439
711	70.43370099
712	70.43369797
713	70.43369578
714	70.43369453
715	70.43368856
716	70.4336864
717	70.43368089
718	70.43367397
719	70.43367158
720	70.43366941
721	70.43366707
722	70.4336666
723	70.43366552
724	70.43366326
725	70.43365981
726	70.43364463
727	70.43364155
728	70.43363359
729	70.43363148
730	70.43362414
731	70.43361907
732	70.43360614
733	70.43359963
734	70.43359598
735	70.43359189
736	70.433585
737	70.43358282
738	70.43357191
739	70.43357117
740	70.43356921
741	70.43355516
742	70.43355473
743	70.43354474
744	70.43353974
745	70.43352798
746	70.4335262
747	70.43352469
748	70.43351843
749	70.43351655
750	70.43351386
751	70.43351226
752	70.43351104
753	70.4335101
754	70.43350861
755	70.43350695
756	70.4335044
757	70.43350402
758	70.43349839
759	70.43349659
760	70.43349413
761	70.43349341
762	70.43349313
763	70.43348046
764	70.43347511
765	70.43347465
766	70.43347184
767	70.4334707
768	70.43347001
769	70.43345821
770	70.43345391
771	70.43344863
772	70.43344768
773	70.4334344
774	70.43342666
775	70.43342552
776	70.4334151
777	70.43341421
778	70.43341305
779	70.43341204
780	70.43340864
781	70.43340601
782	70.43340348
783	70.43339643
784	70.43339617
785	70.43339512
786	70.43338396
787	70.43338159
788	70.43337929
789	70.43337868
790	70.43337812
791	70.43337703
792	70.43337657
793	70.43337568
794	70.43336967
795	70.43336744
796	70.43336495
797	70.43335982
798	70.43335819
799	70.43335775
800	70.43335202
801	70.4333496
802	70.43334919
803	70.43334882
804	70.43334856
805	70.4333473
806	70.43333227
807	70.43333129
808	70.43333098
809	70.43332308
810	70.43332244
811	70.4333214
812	70.43332085
813	70.43331285
814	70.43329563
815	70.43329385
816	70.43329344
817	70.43328398
818	70.43328014
819	70.4332794
820	70.4332774
821	70.43326782
822	70.43326527
823	70.43326427
824	70.43326302
825	70.43326228
826	70.43326159
827	70.43325609
828	70.43325529
829	70.43325484
830	70.43324883
831	70.43324329
832	70.43323648
833	70.43323515
834	70.43322679
835	70.43321863
836	70.43321608
837	70.43320971
838	70.43320839
839	70.43320241
840	70.43320118
841	70.43320007
842	70.43319736
843	70.43319687
844	70.43319437
845	70.43319385
846	70.43319304
847	70.43319211
848	70.43318685
849	70.43318354
850	70.43318288
851	70.4331823
852	70.433182
853	70.43317854
854	70.43317245
855	70.43317096
856	70.43316979
857	70.43316954
858	70.43316637
859	70.43316583
860	70.4331632
861	70.43316246
862	70.43316223
863	70.43316197
864	70.4331609
865	70.43316054
866	70.43315856
867	70.43314723
868	70.43314578
869	70.43314479
870	70.4331443
871	70.43313388
872	70.43312847
873	70.43312667
874	70.43312531
875	70.43312472
876	70.43312058
877	70.43311958
878	70.43310963
879	70.4331092
880	70.43310763
881	70.43310736
882	70.43310566
883	70.43310483
884	70.43309663
885	70.43309568
886	70.4330951
887	70.43309494
888	70.43309484
889	70.43309122
890	70.43308861
891	70.43308795
892	70.43308362
893	70.43307701
894	70.43307466
895	70.43307442
896	70.4330596
897	70.43305756
898	70.43305486
899	70.43305426
900	70.43305306
901	70.43305278
902	70.43305245
903	70.43304964
904	70.43304916
905	70.43304876
906	70.43304838
907	70.43304265
908	70.43304117
909	70.43303932
910	70.4330367
911	70.43303654
912	70.43303615
913	70.43303184
914	70.43303151
915	70.43303145
916	70.4330304
917	70.43303005
918	70.43301909
919	70.43301533
920	70.43301237
921	70.43301186
922	70.43301166
923	70.43300049
924	70.43300034
925	70.43299884
926	70.4329971
927	70.43299251
928	70.43298549
929	70.43298263
930	70.43298151
931	70.43298135
932	70.43298103
933	70.4329805
934	70.43297234
935	70.43297057
936	70.43296914
937	70.43296341
938	70.43296191
939	70.4329442
940	70.43293768
941	70.43293584
942	70.43293486
943	70.43293269
944	70.43293258
945	70.43293232
946	70.43293092
947	70.43292982
948	70.43292958
949	70.43292559
950	70.43292538
951	70.4329237
952	70.43291913
953	70.43291902
954	70.43291593
955	70.43291586
956	70.4329109
957	70.43291045
958	70.43290656
959	70.43290221
960	70.43289755
961	70.43289685
962	70.43289638
963	70.43289098
964	70.43288794
965	70.43288624
966	70.43288466
967	70.43288377
968	70.43287537
969	70.4328746
970	70.43287337
971	70.43287305
972	70.43287
973	70.43286879
974	70.43286392
975	70.4328638
976	70.43286255
977	70.43286235
978	70.43286143
979	70.43286104
980	70.43286093
981	70.43285751
982	70.43285676
983	70.43285342
984	70.43285332
985	70.43285255
986	70.43285213
987	70.43285103
988	70.43285097
989	70.43284805
990	70.43284575
991	70.4328355
992	70.43283531
993	70.43283503
994	70.43283413
995	70.43283251
996	70.43283187
997	70.43282532
998	70.43282487
999	70.43281118
